epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,5016.74,1.41628,1.06924,1.17667,0.49155,0.45805,0.43862,0.23572,1.19546,10.0157,1.01231,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5093.7,1.40474,1.05057,1.17066,0.4978,0.4296,0.42992,0.23439,1.19105,9.94907,1.01409,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5171.25,1.41105,1.04387,1.16738,0.47327,0.44189,0.42933,0.232,1.20971,9.79785,1.02143,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5248.12,1.40232,1.03693,1.16892,0.4849,0.446,0.43343,0.23705,1.19769,9.76791,1.01205,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5325.02,1.3924,1.01861,1.15887,0.47027,0.41321,0.41391,0.2265,1.21188,11.2565,1.01607,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5402.83,1.40337,1.01567,1.15414,0.46237,0.44889,0.42582,0.23119,1.21329,10.0826,1.02297,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5480.58,1.39443,1.00955,1.15854,0.45053,0.4595,0.42729,0.23238,1.2141,9.55013,1.02552,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5556.89,1.37168,0.98545,1.15298,0.44174,0.48873,0.43221,0.23362,1.21578,9.46156,1.03127,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5633.67,1.36344,0.98007,1.14814,0.46418,0.4513,0.43027,0.23392,1.20756,9.67592,1.02298,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5711.49,1.36599,0.98626,1.14797,0.49009,0.42237,0.43013,0.23313,1.20569,10.1187,1.01644,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5789.38,1.3478,0.9758,1.14079,0.46628,0.44069,0.42906,0.23047,1.21103,10.3501,1.02574,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5867.14,1.35127,0.97442,1.13864,0.48147,0.44546,0.43324,0.23322,1.20979,9.98032,1.02036,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5945.06,1.36028,0.95965,1.14428,0.48385,0.44503,0.43388,0.23334,1.21109,10.0599,1.02064,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6023.14,1.33929,0.94996,1.13442,0.47767,0.45082,0.42844,0.23016,1.21092,10.74,1.02259,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6099.75,1.32907,0.93801,1.12209,0.47907,0.44262,0.4279,0.22983,1.21642,10.3715,1.02791,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6176.22,1.32461,0.91747,1.12112,0.50511,0.44503,0.43383,0.23222,1.22787,9.39615,1.03885,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6253.47,1.3358,0.92739,1.12619,0.48785,0.45178,0.43122,0.23259,1.23322,9.47655,1.04075,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6331.54,1.32205,0.9207,1.12499,0.47246,0.45599,0.42611,0.2281,1.23773,10.1103,1.04564,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6408.81,1.31909,0.91198,1.11746,0.48539,0.43828,0.42497,0.22635,1.22873,10.2549,1.03823,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6486.12,1.30823,0.88716,1.1137,0.4751,0.4595,0.43286,0.23092,1.22637,9.68421,1.03239,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
